word,AoA,percentage_known,Prevalence,concreteness,valence,arousal,dominance
overdue,4,1.0,2.58,2.86,3.39,4.62,4.37
challenger,6,0.99,2.32,2.68,5.33,4.74,5.12
nifty,12,1.0,2.34,1.73,6.3,4.59,6.41
highway,2,1.0,2.58,4.72,5.19,4.28,5.14
plant,2,1.0,2.45,4.76,7.05,3.94,6.45
mutilate,8,0.99,2.13,3.86,2.0,4.96,2.91
tower,4,1.0,2.43,4.76,5.24,3.86,5.45
desecrate,14,0.94,1.56,2.56,3.05,4.12,4.1
mango,12,0.99,2.25,5.0,6.57,3.05,5.76
political,6,1.0,2.43,1.83,4.35,4.0,4.08
spinner,2,1.0,2.35,3.83,4.58,4.55,5.29
artist,2,1.0,2.44,4.24,6.76,4.1,6.95
broken,2,1.0,2.44,4.11,2.75,4.86,3.76
staircase,6,1.0,2.44,4.66,5.2,3.3,5.64
relevant,14,1.0,2.34,1.72,5.84,2.95,5.74
gunk,12,0.95,1.56,3.46,3.62,3.8,4.21
amount,2,0.99,2.19,2.74,5.42,3.53,5.39
slouch,6,0.99,2.14,3.56,3.85,3.45,4.79
install,6,0.99,2.31,3.19,5.95,3.72,6.68
poison,4,1.0,2.35,4.27,2.16,6.01,3.38
fiddler,4,1.0,2.58,4.58,5.62,3.87,5.94
overdose,4,0.99,2.32,2.83,2.67,4.92,3.16
escrow,12,0.82,0.9,2.71,4.56,3.11,4.38
sparkle,4,0.99,2.26,3.81,7.1,4.74,5.64
repression,13,0.97,1.8,1.66,2.81,4.15,4.14
transmitter,6,0.99,2.1,4.37,4.95,3.5,5.25
unprepared,2,1.0,2.43,2.07,3.11,5.09,3.75
advertise,2,0.99,2.29,2.81,5.16,4.29,5.74
wheeze,10,0.99,2.23,4.29,3.67,4.24,3.63
charger,6,1.0,2.44,4.39,5.28,3.59,5.04
pounce,6,0.99,2.33,3.66,4.67,6.22,5.52
discriminate,12,0.99,2.17,2.54,3.18,4.05,5.05
finance,6,1.0,2.44,3.36,4.81,5.6,4.57
blessed,2,0.99,2.32,2.1,7.5,3.55,5.32
reach,2,0.99,2.11,3.7,5.78,3.35,5.72
poise,6,0.98,1.91,2.39,5.5,3.77,6.2
fly,2,0.99,2.31,4.64,6.06,4.9,5.28
terrorize,8,0.99,2.15,2.84,2.5,5.95,3.05
prisoner,4,1.0,2.44,4.11,2.67,5.0,2.41
senator,6,1.0,2.33,4.59,4.32,3.75,5.84
shotgun,2,1.0,2.43,4.96,3.5,6.55,4.92
actual,4,1.0,2.34,2.22,6.22,2.75,5.54
radioactive,6,1.0,2.44,3.14,3.47,5.64,3.27
closet,2,1.0,2.34,4.83,5.1,3.55,6.63
flourish,8,0.98,2.05,2.1,7.21,5.22,6.17
ally,12,0.97,1.8,2.61,6.05,4.8,6.84
dune,8,0.97,1.85,4.46,5.35,2.76,5.15
walnut,2,0.99,2.33,4.97,6.39,2.81,4.8
reply,4,1.0,2.44,2.96,6.15,3.44,6.79
gracious,12,0.99,2.17,2.17,7.23,3.23,7.05
suede,8,0.97,1.85,4.24,5.36,2.75,5.71
diaper,4,0.99,2.12,4.82,3.71,3.41,4.14
temperamental,8,0.96,1.72,1.74,3.86,5.7,4.61
moon,2,1.0,2.33,4.9,7.0,3.43,6.11
euthanasia,14,0.98,1.89,3.08,3.3,5.18,5.4
loafer,4,0.98,1.94,4.2,4.05,3.63,5.05
crooked,4,1.0,2.35,3.79,3.17,4.18,3.18
clutch,6,1.0,2.44,3.7,4.8,4.04,5.19
magnificence,6,0.99,2.21,1.83,7.47,3.95,6.93
knot,2,1.0,2.44,4.87,4.57,3.84,6.04
user,6,1.0,2.58,3.16,3.67,3.21,5.56
forevermore,4,0.93,1.43,1.69,6.48,4.3,5.0
recruit,8,0.99,2.26,3.48,4.53,4.77,6.0
secretive,10,0.98,2.0,2.25,4.15,5.73,5.81
nine,2,1.0,2.43,4.04,5.1,3.83,5.21
monitor,6,1.0,2.42,3.65,5.05,3.86,5.81
latch,6,0.99,2.32,4.79,5.0,3.09,4.78
kit,2,1.0,2.33,4.47,6.1,3.68,6.29
shark,4,1.0,2.44,4.93,4.02,5.27,4.87
regular,4,1.0,2.58,2.4,6.09,3.65,6.74
rack,2,1.0,2.45,4.48,5.55,4.52,5.12
passage,4,0.99,2.31,3.8,5.88,3.35,5.68
hydraulic,8,0.98,2.0,3.66,5.05,4.11,4.81
scalding,6,0.98,2.02,3.07,3.02,5.21,3.91
burn,2,0.99,2.31,4.11,3.73,5.4,3.9
outrageous,10,1.0,2.58,1.8,4.19,5.35,4.56
worship,4,0.99,2.32,2.62,5.57,3.78,4.65
jumbo,4,0.99,2.09,3.24,4.9,4.24,4.92
change,2,0.99,2.23,2.89,5.09,4.05,5.81
astonish,6,0.99,2.24,1.7,5.55,5.38,6.0
peddle,6,0.97,1.86,4.04,4.89,3.52,5.22
classify,6,0.99,2.09,2.41,5.6,4.25,6.35
turnpike,4,0.97,1.83,4.38,4.89,3.55,4.76
swoop,6,0.99,2.25,3.19,5.16,5.62,5.04
clinic,6,1.0,2.44,4.24,4.95,2.95,4.52
outdoors,2,1.0,2.42,4.61,6.91,3.94,6.2
throat,2,1.0,2.34,4.97,4.76,4.2,5.84
par,8,0.97,1.81,2.26,4.85,2.94,5.67
sharpshooter,6,0.97,1.88,4.59,4.26,5.62,4.75
ingenious,6,0.99,2.17,1.89,5.61,5.45,6.6
greeting,2,1.0,2.44,3.62,5.89,4.94,6.29
squeak,2,1.0,2.44,4.07,4.95,4.79,4.62
midshipman,12,0.85,1.01,4.54,4.75,2.72,5.14
fable,4,0.99,2.18,3.07,5.75,4.09,5.9
balance,2,0.99,2.32,2.89,6.84,4.13,5.47
swap,6,0.99,2.14,3.85,5.24,3.7,5.12
boardwalk,10,0.99,2.23,4.78,6.86,4.08,6.17
retractor,12,0.97,1.76,3.21,4.95,2.81,4.74
speak,2,1.0,2.35,3.7,5.91,4.19,5.89
whittle,4,0.98,1.98,4.16,5.45,2.84,5.59
cola,14,0.99,2.33,4.79,5.67,4.29,6.0
funk,14,0.99,2.26,1.92,3.2,4.52,4.68
disdainful,14,0.96,1.71,2.11,3.13,4.7,4.48
price,2,1.0,2.43,3.63,4.94,3.4,4.61
devise,8,0.99,2.09,2.0,4.45,4.48,5.15
canister,8,0.97,1.78,4.93,4.84,3.0,5.57
evening,2,1.0,2.33,3.26,7.09,3.1,5.22
anxious,4,0.99,2.16,1.68,3.8,6.2,4.15
span,6,0.99,2.18,3.0,5.74,3.1,5.78
matinee,4,0.95,1.62,3.78,6.0,3.05,5.3
personality,4,1.0,2.58,2.08,6.14,4.5,6.71
patron,8,0.99,2.31,3.72,5.7,2.91,6.11
babe,4,0.99,2.16,3.67,6.86,4.25,6.79
whirlwind,2,1.0,2.45,4.07,4.62,6.05,3.62
share,2,0.99,2.32,2.96,6.22,3.2,6.44
science,4,1.0,2.44,2.79,6.32,5.25,6.74
subordinate,12,0.99,2.17,2.73,4.44,3.09,3.46
gossip,6,1.0,2.33,3.0,3.5,3.91,3.94
saloon,4,1.0,2.44,4.68,5.45,3.35,3.68
ancient,4,0.99,2.09,2.04,7.24,3.48,4.86
burlesque,12,0.98,1.9,3.12,5.68,5.3,4.74
brothel,14,0.99,2.06,4.23,4.63,5.4,4.88
rendezvous,8,0.98,1.89,2.75,6.3,5.1,6.17
scoop,2,0.99,2.31,4.15,5.24,3.39,6.11
starch,2,1.0,2.34,4.29,4.95,3.9,6.52
bosom,6,0.91,1.3,4.63,6.44,4.7,5.0
massive,8,1.0,2.44,3.21,5.18,5.79,5.71
monetary,12,0.99,2.24,2.96,6.32,4.46,5.62
handler,10,0.99,2.32,3.21,4.86,3.6,5.16
thermometer,2,1.0,2.33,4.96,5.22,3.36,5.32
dropout,4,0.99,2.23,3.52,3.33,4.7,3.95
soot,14,0.95,1.57,4.61,5.19,4.65,5.0
round,2,1.0,2.43,3.9,5.89,2.5,4.78
thyroid,6,0.99,2.24,4.61,4.28,3.14,3.13
ruin,4,1.0,2.58,2.59,2.32,5.4,5.16
dole,12,0.96,1.72,2.57,4.95,4.4,4.82
outdoor,6,0.98,1.99,3.93,7.33,3.55,5.2
stylist,6,0.99,2.26,4.08,6.0,3.32,5.56
lemonade,2,1.0,2.58,4.83,7.05,4.63,6.0
mermaid,2,1.0,2.34,4.5,7.05,5.58,4.33
relieve,6,1.0,2.42,2.47,7.25,3.9,6.62
sparrow,2,0.99,2.09,4.85,6.58,3.78,4.68
scholar,6,0.99,2.22,3.5,6.33,4.25,6.04
intangible,12,0.99,2.15,1.3,5.7,3.19,4.28
congenital,14,0.95,1.63,2.32,4.11,4.13,3.58
discharge,6,1.0,2.58,3.83,3.4,4.94,4.0
gamble,2,0.99,2.32,3.17,4.81,5.32,3.74
affirmative,10,0.99,2.32,1.93,5.94,3.64,6.78
happy,2,1.0,2.58,2.56,8.47,6.05,7.21
jagged,4,0.99,2.16,3.74,3.95,6.05,4.48
gentlemanly,2,0.98,1.92,2.21,6.77,3.91,7.0
surprise,2,1.0,2.58,3.24,7.44,6.57,5.17
imprint,8,0.98,2.05,3.96,5.24,2.43,5.32
swift,2,0.99,2.22,3.04,5.83,4.88,6.24
tweezers,4,1.0,2.58,4.96,4.63,4.64,6.18
splendor,6,1.0,2.34,1.59,6.95,4.0,6.07
implosion,10,0.98,2.02,3.36,3.32,5.82,3.46
balcony,4,1.0,2.43,4.68,6.11,4.0,5.09
loop,2,1.0,2.34,4.26,5.26,3.52,4.9
starlet,12,0.96,1.72,4.46,6.26,4.18,5.61
hog,2,1.0,2.58,4.66,4.55,2.9,4.68
official,6,1.0,2.44,2.54,5.75,4.04,5.45
chatter,4,1.0,2.43,3.33,5.9,4.44,5.95
catfish,2,1.0,2.43,4.85,5.24,4.26,5.79
tutor,8,0.99,2.25,4.28,5.9,2.81,6.08
refrain,10,0.99,2.31,2.61,5.3,3.47,5.23
cakewalk,12,0.91,1.29,2.64,7.33,4.04,6.2
radius,10,1.0,2.43,3.61,5.3,4.55,5.06
module,8,0.99,2.26,3.93,4.9,4.33,5.41
indecent,6,0.99,2.18,1.86,4.52,5.4,4.43
available,6,1.0,2.44,2.11,6.86,4.04,6.59
legitimacy,12,1.0,2.34,2.07,5.55,4.09,6.37
vulture,4,0.99,2.18,4.73,3.23,5.0,4.43
advice,2,1.0,2.58,2.73,5.78,3.05,5.83
alligator,2,0.99,2.17,4.96,4.23,5.36,4.1
yogurt,2,0.99,2.16,4.9,7.0,4.52,6.0
refinement,8,0.98,2.02,2.04,6.05,3.78,5.54
cheeky,12,0.99,2.32,2.03,5.7,5.47,5.57
ashtray,4,1.0,2.34,4.97,3.52,3.48,5.56
regretful,12,1.0,2.58,2.07,3.1,4.56,4.09
mausoleum,13,0.87,1.09,4.23,4.5,3.87,4.62
mourn,6,0.99,2.12,2.33,2.4,4.95,4.08
diver,4,0.99,2.17,4.69,5.66,5.42,5.9
extort,13,0.98,1.9,2.59,3.19,4.48,3.48
tuba,4,0.95,1.63,4.86,5.58,3.95,5.18
violence,6,0.99,2.23,3.07,2.71,5.95,3.24
checker,2,0.97,1.88,4.04,4.94,3.68,5.79
removal,6,1.0,2.44,3.0,4.26,3.86,4.91
gem,6,0.99,2.25,4.88,7.35,4.44,6.09
incite,8,0.98,1.93,2.47,4.76,4.77,5.67
crow,2,1.0,2.58,4.93,4.32,3.55,5.4
blueprint,6,1.0,2.58,4.77,4.95,3.71,5.96
runaway,4,1.0,2.34,3.81,4.05,3.95,4.41
photography,4,0.99,2.25,4.1,6.67,3.96,6.2
persecute,6,0.97,1.8,2.53,3.11,5.11,4.09
doctor,2,0.99,2.25,4.69,5.93,4.05,4.69
dentist,2,0.99,2.24,4.93,3.84,4.37,4.7
deplorable,12,0.96,1.68,1.78,3.9,4.73,4.0
snout,4,0.99,2.1,4.89,4.48,3.39,5.28
erosion,8,0.99,2.08,3.83,3.79,5.86,3.91
galactic,12,0.98,1.92,2.57,7.0,5.8,4.77
painful,2,0.99,2.27,3.43,2.58,5.52,3.83
parka,8,0.93,1.48,4.65,5.84,2.72,5.86
giraffe,2,1.0,2.58,4.73,6.52,2.91,5.27
deformity,8,0.99,2.32,3.59,3.18,4.71,3.82
hyperventilate,12,0.97,1.88,3.86,2.88,5.86,3.2
foxy,6,0.99,2.14,2.19,6.0,4.75,5.3
conception,12,1.0,2.58,2.24,6.0,6.09,4.44
spineless,8,0.99,2.32,2.25,2.95,4.57,4.1
imaginable,6,1.0,2.58,1.79,6.85,3.0,6.19
warp,8,1.0,2.34,3.07,5.6,5.4,5.28
son,2,1.0,2.43,4.14,6.91,4.43,5.0
writer,4,0.99,2.25,4.32,6.74,4.74,6.0
meaningful,6,0.99,2.25,1.62,6.79,3.78,6.29
sewing,4,1.0,2.43,4.4,5.05,3.45,6.26
postcard,2,0.99,2.26,4.93,5.68,4.23,6.08
sarcasm,8,0.99,2.15,1.63,4.81,5.29,5.72
overpower,2,0.98,2.05,2.59,4.14,4.96,5.58
forgetfulness,4,1.0,2.43,1.82,3.8,4.55,4.19
oppressor,10,0.99,2.13,2.76,2.81,5.48,3.0
expiration,12,0.99,2.33,2.61,3.45,4.29,3.72
tiring,6,0.99,2.17,2.52,3.68,3.55,3.78
criticize,6,0.99,2.18,2.03,2.41,5.27,4.7
trance,6,0.99,2.15,3.0,5.24,4.0,3.18
archaic,14,0.94,1.52,2.23,4.5,4.38,4.62
gravity,4,1.0,2.43,2.86,5.81,4.85,4.48
publication,6,1.0,2.34,4.41,5.48,2.79,4.63
assemblyman,13,0.91,1.32,3.74,5.0,3.12,5.21
violate,6,1.0,2.43,1.88,2.61,5.76,2.85
baron,8,0.99,2.1,4.14,3.9,3.88,4.95
interview,6,1.0,2.33,3.36,4.68,6.35,6.84
manned,12,0.96,1.68,3.52,5.14,4.47,5.71
cheese,2,1.0,2.43,4.7,6.81,3.8,7.11
tinsel,6,0.98,2.01,4.82,5.7,4.05,5.15
prance,8,0.98,2.01,3.83,6.0,5.05,6.1
foliage,12,1.0,2.33,4.67,5.68,4.25,6.21
juncture,12,0.97,1.8,3.0,5.25,4.08,5.79
troupe,8,0.92,1.38,4.0,5.24,3.7,5.62
fanciful,8,0.96,1.7,1.8,7.05,4.81,6.76
dive,2,0.99,2.24,4.03,5.81,3.79,5.75
rebound,6,0.99,2.24,2.69,5.09,4.67,5.33
nationwide,6,0.99,2.15,2.63,5.2,3.72,5.45
excitement,4,1.0,2.58,2.48,7.62,6.21,6.33
judicial,6,1.0,2.34,2.12,4.0,4.59,4.9
interpretation,8,0.99,2.24,1.4,5.6,4.21,5.43
ambassador,8,0.99,2.17,4.28,5.5,3.91,6.2
blubber,2,0.99,2.23,3.93,3.85,4.27,4.72
hangar,6,0.88,1.17,4.5,5.05,3.5,5.57
inscription,8,0.98,2.01,4.15,6.14,4.85,5.06
occur,6,1.0,2.33,1.84,6.26,3.57,4.46
design,2,0.99,2.17,3.27,6.8,3.95,5.8
seasick,4,0.99,2.15,3.18,1.89,5.0,2.39
deceptive,8,1.0,2.43,1.78,3.73,4.95,3.86
shoulder,2,1.0,2.33,4.93,5.1,2.96,4.81
tardy,4,0.99,2.08,2.31,3.47,4.3,4.35
impending,12,1.0,2.43,1.48,3.68,4.55,3.8
relocate,6,1.0,2.44,2.76,4.05,4.38,5.3
needy,6,1.0,2.33,2.28,2.9,4.68,4.27
frat,12,0.89,1.19,3.3,4.29,3.64,4.63
infernal,10,0.95,1.59,1.96,4.14,6.3,4.61
affiliation,10,1.0,2.34,1.93,5.32,3.9,5.3
peer,6,0.99,2.26,3.83,5.64,4.05,6.05
duel,4,1.0,2.43,3.79,5.05,5.55,4.82
magazine,4,1.0,2.43,5.0,6.24,4.2,7.05
flawless,10,1.0,2.43,2.52,7.05,4.05,6.55
spotty,4,0.99,2.24,2.96,4.29,4.0,4.09
sphincter,13,0.93,1.48,4.54,4.37,4.0,4.11
exaggerate,4,0.99,2.25,2.23,4.36,4.48,5.55
pistachio,8,0.99,2.14,4.93,6.09,4.68,5.48
suitcase,4,0.99,2.16,4.97,5.25,3.24,5.5
find,2,0.99,2.25,2.63,6.45,3.52,6.24
dough,4,0.99,2.33,4.79,6.0,4.1,5.96
reinforce,8,0.99,2.14,2.32,5.53,3.96,4.94
chiffon,8,0.92,1.4,4.45,6.0,4.68,5.14
ramble,8,0.99,2.33,2.54,4.32,5.0,5.89
missionary,6,1.0,2.43,3.71,5.33,4.24,5.6
nation,4,1.0,2.43,3.62,6.0,4.78,4.74
teamwork,2,1.0,2.34,2.37,6.26,4.64,5.54
laser,14,0.99,2.19,4.5,5.64,5.09,5.52
floss,8,1.0,2.43,4.41,5.0,3.48,5.69
bogus,13,0.99,2.09,2.19,2.84,5.32,3.59
dashboard,8,0.99,2.33,4.61,5.25,3.15,5.32
mitt,2,0.9,1.25,4.76,5.48,2.75,5.0
grader,10,0.95,1.58,3.37,5.26,3.38,5.17
trouble,4,1.0,2.58,2.25,2.87,5.59,4.35
crunch,2,1.0,2.34,3.36,4.79,4.17,5.0
absorb,6,1.0,2.58,3.11,5.5,4.27,5.62
trickery,6,0.99,2.25,1.9,3.53,5.12,4.57
liar,2,1.0,2.34,3.43,2.41,6.6,4.74
cub,2,0.99,2.07,4.67,6.71,3.95,4.24
vile,13,0.99,2.24,2.14,2.21,5.48,3.83
tribunal,13,0.98,1.99,2.7,4.53,3.95,4.74
marine,6,0.99,2.17,4.25,5.95,3.44,5.14
husky,2,1.0,2.58,3.59,5.29,3.71,5.04
waterworks,4,0.99,2.2,4.07,5.4,3.6,4.88
bakery,2,0.99,2.14,4.83,6.79,3.86,5.74
stout,6,0.99,2.2,3.41,5.29,3.35,4.86
chuckle,2,0.99,2.24,3.82,7.1,5.3,5.71
interrupt,6,1.0,2.44,3.0,3.26,4.36,3.93
grits,6,0.97,1.87,4.74,4.9,3.43,4.65
slum,6,0.99,2.2,4.03,2.55,4.2,3.83
pandemonium,12,0.99,2.08,2.24,4.4,6.15,3.77
hulk,12,0.98,2.02,3.39,5.45,4.9,5.64
apex,12,0.96,1.72,3.41,5.52,3.48,5.17
donate,4,0.99,2.08,2.88,6.7,3.25,6.71
autobiography,6,1.0,2.33,3.74,5.79,2.85,6.5
humid,6,0.99,2.18,3.48,3.42,3.36,4.04
postal,4,1.0,2.43,3.07,5.21,3.41,4.83
locomotive,4,1.0,2.43,4.82,5.95,5.5,5.23
pale,6,1.0,2.44,3.79,4.11,3.18,4.18
variation,8,1.0,2.43,2.46,5.53,3.9,5.57
backhand,6,0.99,2.18,3.88,3.5,4.61,4.9
solitude,10,1.0,2.33,2.07,4.76,3.18,6.53
refine,8,0.99,2.33,2.43,5.17,3.6,7.19
kiwi,12,0.99,2.33,4.86,6.11,3.65,5.5
stingy,6,0.98,2.0,2.0,2.53,4.73,4.54
robot,4,1.0,2.34,4.65,6.18,4.43,5.14
lacquer,6,0.95,1.56,4.28,4.95,3.3,5.0
handiwork,6,0.95,1.62,3.11,6.47,3.36,5.95
local,6,0.99,2.25,3.04,6.77,3.8,6.68
surfboard,2,0.99,2.31,4.57,5.53,3.75,4.8
spare,4,0.99,2.32,3.48,5.57,4.45,5.63
suspect,2,1.0,2.34,2.59,2.39,4.57,3.22
emergency,4,0.99,2.18,2.41,2.72,6.43,2.72
dine,2,0.99,2.1,3.37,6.6,4.0,6.05
arise,2,1.0,2.58,3.17,6.17,4.76,5.87
exterior,6,1.0,2.43,4.0,5.55,3.39,5.91
electrocute,6,0.96,1.71,3.82,3.27,6.0,4.42
fantastic,4,0.99,2.19,1.78,8.36,6.4,7.21
vixen,12,0.97,1.8,3.8,4.7,5.09,5.4
briar,6,0.9,1.24,4.44,4.95,4.0,4.58
wreak,13,0.95,1.56,2.83,3.5,5.33,4.54
interfere,2,0.99,2.06,2.59,3.94,4.33,4.71
hussy,12,0.93,1.44,2.54,4.4,6.05,4.27
hex,8,0.97,1.83,2.16,2.47,4.77,4.42
