name,type,aggression,anger,competing,disgust,dispute,exasperation,joy,lust,nervousness,positive,shame,torment,trust,youth,zest
hotdog_bf,humor,0,0,0,0,3.189792663,0,0,0,0,7.974481659,3.189792663,0,7.974481659,1.594896332,0
drink_piss,humor,0,1.398601399,0,2.797202797,1.398601399,0,1.398601399,5.594405594,2.797202797,4.195804196,2.797202797,0,4.195804196,0,1.398601399
anonymous0,humor,0,0,0.536480687,0,0.536480687,0,0,1.072961373,0,2.682403433,0.536480687,0,1.072961373,0.536480687,0.536480687
my_super,humor,0,0,0,0,3.571428571,3.571428571,0,0,0,0,0,0,0,0,0
yo_yo,humor,2.45398773,0,1.226993865,0,1.226993865,0,0,0,2.45398773,2.45398773,0,1.226993865,0,4.90797546,0
thanksgiving_potluck,humor,1.519756839,0,1.519756839,0,1.519756839,0,0,0,4.559270517,6.079027356,6.079027356,0,3.039513678,1.519756839,0
ceo_chegg_fuck,humor,0.540832883,0,0,0,2.704164413,0,0,0,0,4.867495944,0.540832883,0.540832883,2.704164413,1.081665765,0
The_Know,humor,0.218292949,0.654878847,2.182929491,0.218292949,0.873171797,0.218292949,0.873171797,0.218292949,0.873171797,3.056101288,0.873171797,0.654878847,0.436585898,0.436585898,0.654878847
Russian_Ukarin,humor,8.827238335,0,0,1.261034048,2.522068096,0,0,0,0,1.261034048,0,0,0,0,0
migrate_to_us,humor,1.947419669,0.973709834,0.973709834,0,2.921129503,0.973709834,0,0.973709834,0,0,0.973709834,0,1.947419669,0,0
sex_addiction,general,1.002506266,0.501253133,1.002506266,0.501253133,1.002506266,0,0.501253133,2.005012531,1.503759398,6.015037594,3.007518797,0.501253133,4.010025063,2.005012531,2.005012531
party_all_night,general,1.449975834,0,0.483325278,0,1.449975834,0,1.449975834,1.449975834,3.866602223,5.316578057,3.866602223,0.966650556,2.41662639,0.483325278,1.933301112
brexit,general,1.404494382,0,4.213483146,0,4.213483146,0,0,0,1.404494382,1.404494382,1.404494382,0,18.25842697,0,0
daughter_dad,general,0,0.586510264,0,0.586510264,2.93255132,0.586510264,1.173020528,1.173020528,4.105571848,7.624633431,5.278592375,0,2.346041056,4.105571848,0.586510264
Russian_Ukarin,general,8.827238335,0,0,1.261034048,2.522068096,0,0,0,0,1.261034048,0,0,0,0,0
migrate_to_us,general,1.947419669,0.973709834,0.973709834,0,2.921129503,0.973709834,0,0.973709834,0,0,0.973709834,0,1.947419669,0,0
california_fire,general,1.834862385,0,3.669724771,1.834862385,1.834862385,0,0,0,1.834862385,3.669724771,0,0,1.834862385,3.669724771,0
tent_house,general,1.601708489,0,0,0,1.067805659,0,0,0.53390283,1.067805659,3.203416978,1.067805659,0,2.135611319,7.474639616,0
my_COD_Olivia,general,3.105590062,3.105590062,0.258799172,2.070393375,2.070393375,0,2.070393375,1.552795031,10.86956522,5.693581781,5.434782609,1.811594203,1.552795031,4.917184265,1.811594203
apple_pie,general,4.881025015,1.830384381,1.220256254,1.830384381,3.660768761,0.610128127,0.610128127,2.440512508,5.491153142,1.220256254,4.881025015,1.830384381,0.610128127,2.440512508,0.610128127